"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"BK912TR";1;"BK-912-TR";;;
2;"J7,J9";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";2;"Screw_Terminal_01x02";;;
3;"C11";"C0603";1;"C0603C105Z8VACTU";;;
4;"C2";"16SVF82M";1;"25SVPF27MX";;;
5;"U2,U1";"TPS552892QWRYQRQ1";2;"TPS55289RYQR";;;
6;"C18,C16,C21,C17";"CAPC1608X95N";4;"EMK107B7104KA-T";;;
7;"C22,C23,C13";"CAPC1005X55N";3;"GRM155R70J104KA01D";;;
8;"J6,J11,J5";"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal";3;"Screw_Terminal_01x06";;;
9;"R2";"RESC1005X40N";1;"CRCW040210K0FKED";;;
10;"R8,R5";"RESC1005X40N";2;"CRCW040248K7FKED";;;
11;"J8,J10";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";2;"1935161";;;
12;"C10,C12,C9";"CAPC1005X55N";3;"C1005X5R1V105K050BC";;;
13;"R3";"RESC1005X40N";1;"CRCW0402301RFKED";;;
14;"C14";"CAPC1005X55N";1;"GRM155R70J473KA01D";;;
15;"J2,J3,J4";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";3;"Screw_Terminal_01x03";;;
16;"C19,C20,C15";"CAPC1608X80N";3;"C1608X6S1C475K080AC";;;
17;"C5,C8";"CAPC3225X230N";2;"C3225X7R1H106M250AC";;;
18;"R9,R6";"RESC1005X40N";2;"CRCW0402301KFKED";;;
19;"J1";"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal";1;"Screw_Terminal_01x04";;;
20;"R7,R10";"RESC1005X40N";2;"CRCW0402100KFKED";;;
21;"C3,C1";"CAPPM7343X200N";2;"EEFCX1E330R";;;
22;"Q1";"TO254P469X1042X1967-3P";1;"IRLZ44N";;;
23;"R4";"RESC1005X40N";1;"CRCW040213K0FKED";;;
24;"U3";"SOIC127P1032X265-16N";1;"DS3231SN";;;
25;"R11,R12";"RESC3225X60N";2;"CRCW12104K70JNEA";;;
26;"C4";"16SVF82M";1;"10SVPC68MV";;;
27;"L1";"SDR0403";1;"SDR0403-4R7ML";;;
28;"R1";"ERJ2RKD1004X";1;"ERJ-2RKF2400X";;;
29;"C7";"C0805";1;"C0805C106K8PACTU";;;
30;"C6";"CAPC2012X145N";1;"C2012X5R1V156M125AC";;;
31;"L2";"74439346100";1;"74439346100";;;
